model,i,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,ind_per_ha
Phi(~Time)p(~temp + sundur)pent(~1)N(~1),14,0.87 [0.828-0.908],0.03 [0.02-0.032],0.01 [0.001-0.092],10625 [8898-12755],7,1457.07705174129,6.1682720401725,0.0149365208576056,-6405.7077,107 [90-129]
Phi(~Time + I(Time^2))p(~temp + sundur)pent(~1)N(~1),15,0.87 [0.806-0.915],0.03 [0.02-0.032],0.01 [0.001-0.085],10742 [8921-13009],8,1458.96680796515,8.05802826403146,0.00580622818452068,-6405.838,109 [90-131]
Phi(~1)p(~temp + wind + sundur)pent(~Time + I(Time^2))N(~1),79,0.87 [0.843-0.886],0.04 [0.029-0.047],0.05 [0.032-0.078],12357 [10441-14684],9,1464.41117970112,13.5023999999999,0.000381648709676211,-6402.416,125 [105-148]
Phi(~Time)p(~temp)pent(~Time + I(Time^2))N(~1),71,0.86 [0.831-0.882],0.03 [0.025-0.038],0.02 [0.011-0.065],11584 [9790-13765],8,1467.39420796515,16.4854282640315,8.58830464154736e-05,-6397.4106,117 [99-139]
Phi(~1)p(~temp + sundur)pent(~Time + I(Time^2))N(~1),73,0.86 [0.84-0.885],0.04 [0.029-0.047],0.05 [0.035-0.076],12197 [10308-14491],8,1468.13490796515,17.2261282640316,5.93016093829558e-05,-6396.6699,123 [104-146]
Phi(~Time)p(~temp + wind)pent(~Time + I(Time^2))N(~1),77,0.86 [0.823-0.888],0.03 [0.024-0.04],0.02 [0.01-0.113],11587 [9785-13781],9,1469.41627970112,18.5074999999999,3.12478501098201e-05,-6397.4109,117 [99-139]
Phi(~Time + I(Time^2))p(~temp + wind)pent(~Time + I(Time^2))N(~1),78,0.86 [0.803-0.9],0.03 [0.025-0.041],0.02 [0.011-0.085],11505 [9673-13746],10,1471.32737165109,20.4185919499694,1.20179889005843e-05,-6397.5248,116 [98-139]
Phi(~Time)p(~sundur)pent(~Time)N(~1),35,0.86 [0.816-0.89],0.03 [0.025-0.043],0.05 [0.033-0.073],11252 [9523-13353],7,1472.48025174129,21.5714720401725,6.75284945469294e-06,-6390.3045,114 [96-135]
Phi(~Time)p(~sundur + wind)pent(~Time)N(~1),38,0.86 [0.814-0.889],0.03 [0.025-0.043],0.05 [0.033-0.072],11297 [9561-13406],8,1472.53820796515,21.6294282640315,6.55997272592705e-06,-6392.2665,114 [97-135]
Phi(~Time)p(~sundur)pent(~Time + I(Time^2))N(~1),65,0.86 [0.81-0.894],0.03 [0.026-0.044],0.05 [0.03-0.091],11296 [9559-13405],8,1473.91850796515,23.0097282640315,3.28983182126532e-06,-6390.8862,114 [97-135]
Phi(~Time + I(Time^2))p(~sundur + wind)pent(~Time)N(~1),39,0.86 [0.802-0.902],0.03 [0.025-0.043],0.05 [0.032-0.072],11179 [9446-13289],9,1473.93057970112,23.0218,3.27003463739972e-06,-6392.8966,113 [95-134]
Phi(~Time)p(~sundur + wind)pent(~Time + I(Time^2))N(~1),68,0.86 [0.808-0.896],0.03 [0.025-0.044],0.05 [0.029-0.104],11341 [9593-13467],9,1474.06757970112,23.1587999999999,3.05353695871594e-06,-6392.7596,115 [97-136]
Phi(~Time + I(Time^2))p(~sundur)pent(~Time)N(~1),36,0.86 [0.802-0.899],0.03 [0.025-0.043],0.05 [0.032-0.074],11232 [9491-13353],8,1474.48040796515,23.5716282640315,2.48404044293702e-06,-6390.3243,113 [96-135]
Phi(~Time + I(Time^2))p(~sundur + wind)pent(~Time + I(Time^2))N(~1),69,0.86 [0.798-0.906],0.03 [0.026-0.046],0.05 [0.03-0.088],11176 [9447-13282],10,1474.80977165109,23.9009919499695,2.10687246193162e-06,-6394.0424,113 [95-134]
Phi(~Time + I(Time^2))p(~sundur)pent(~Time + I(Time^2))N(~1),66,0.86 [0.797-0.903],0.03 [0.026-0.045],0.05 [0.03-0.089],11236 [9499-13351],9,1475.74327970112,24.8344999999999,1.32108131241687e-06,-6391.0839,113 [96-135]
Phi(~1)p(~temp + wind + sundur)pent(~Time)N(~1),49,0.88 [0.853-0.897],0.03 [0.026-0.043],0.05 [0.035-0.064],12790 [10806-15197],8,1477.31190796515,26.4031282640315,6.02984640319885e-07,-6387.4929,129 [109-154]
