model,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,weightcum,ind_per_ha
Phi(~1)p(~Time)pent(~1)N(~1),0.86 [0.782-0.91],0.03 [0.022-0.054],0.09 [0.086-0.089],8912 [6378-12572],5,540.439946909871,67.5301703581471,1.54863663256248e-15,-2942.4206,1,57 [41-81]
Phi(~Time)p(~Time)pent(~Time)N(~1),0.75 [0.695-0.806],0.21 [0.16-0.26],0.09 [0.077-0.107],19085 [10801-34141],7,543.32635866571,70.416582113986,0,-2943.609,1,55 [38-79]
Phi(~1)p(~temp + wind + sundur)pent(~1)N(~1),0.76 [0.678-0.831],0.04 [0.026-0.075],0.08 [0.076-0.087],7549 [5273-10952],7,570.85798866571,97.9482121139861,0,-2916.0774,1,44 [31-63]
Phi(~1)p(~temp + wind)pent(~1)N(~1),0.98 [0.963-0.984],0.01 [0.007-0.015],0 [0-1],7541 [5466-10513],6,572.585063839542,99.6752872878175,0,-2912.3099,1,47 [32-69]
Phi(~1)p(~temp + sundur)pent(~1)N(~1),0.75 [0.683-0.807],0.05 [0.03-0.076],0.08 [0.08-0.087],7250 [5144-10348],6,580.627803839542,107.718027287817,0,-2904.2672,1,131 [69-251]
Phi(~1)p(~sundur + wind)pent(~1)N(~1),0.74 [0.678-0.794],0.05 [0.033-0.08],0.08 [0.082-0.087],7078 [5046-10054],6,580.901513839542,107.991737287817,0,-2903.9935,1,47 [33-69]
Phi(~1)p(~sundur)pent(~1)N(~1),0.74 [0.681-0.793],0.05 [0.034-0.079],0.09 [0.083-0.088],7073 [5048-10035],5,585.070126909871,112.160350358147,0,-2897.7904,1,43 [31-62]
Phi(~1)p(~temp)pent(~1)N(~1),0.78 [0.699-0.847],0.04 [0.024-0.067],0.08 [0.074-0.086],7906 [5537-11428],5,596.787016909871,123.877240358147,0,-2886.0735,1,55 [40-78]
Phi(~1)p(~wind)pent(~1)N(~1),0.76 [0.691-0.814],0.05 [0.029-0.072],0.08 [0.079-0.086],7441 [5280-10614],5,601.485536909871,128.575760358147,0,-2881.375,1,55 [40-78]
Phi(~1)p(~1)pent(~1)N(~1),0.75 [0.691-0.807],0.05 [0.031-0.073],0.08 [0.08-0.086],7314 [5202-10410],4,605.446312857143,132.536536305419,0,-2875.3855,1,55 [40-78]
