model,i,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,ind_per_ha
Phi(~1)p(~sundur + wind)pent(~1)N(~1),7,0.76 [0.479-0.92],0.25 [0.04-0.724],0.1 [0.052-0.18],65 [36-180],6,92.917738,11.2553516923077,0.000660715330086994,-41.451341,8 [4-22]
Phi(~Time + I(Time^2))p(~wind)pent(~Time + I(Time^2))N(~1),90,0.64 [0.316-0.904],0.34 [0.082-0.719],0.12 [0.053-0.237],54 [34-131],9,92.9184171818182,11.2560308741259,0.000660490995260588,-52.27248,7 [4-16]
Phi(~Time)p(~temp + wind)pent(~Time + I(Time^2))N(~1),77,0.66 [0.366-0.882],0.33 [0.078-0.718],0.12 [0.053-0.234],55 [34-130],9,92.9370371818182,11.2746508741259,0.00065437035986183,-52.253861,7 [4-16]
Phi(~Time)p(~sundur + wind)pent(~Time + I(Time^2))N(~1),68,0.65 [0.37-0.873],0.33 [0.079-0.722],0.12 [0.052-0.24],54 [34-130],9,92.9820211818182,11.3196348741259,0.000639816547449459,-52.208877,7 [4-16]
Phi(~1)p(~temp + wind + sundur)pent(~1)N(~1),19,0.8 [0.599-0.913],0.19 [0.046-0.505],0.07 [0.031-0.145],78 [44-178],7,93.1592996666667,11.4969133589744,0.000585544537863237,-44.516446,10 [6-22]
Phi(~Time + I(Time^2))p(~temp)pent(~Time + I(Time^2))N(~1),72,0.66 [0.319-0.909],0.31 [0.09-0.67],0.12 [0.053-0.232],58 [35-134],9,93.3486771818182,11.6862908741259,0.000532644110306252,-51.84222,7 [4-17]
Phi(~Time + I(Time^2))p(~temp + sundur)pent(~1)N(~1),15,0.68 [0.32-0.92],0.23 [0.069-0.55],0.09 [0.06-0.146],67 [40-144],8,93.3777805652174,11.7153942575251,0.000524949359032516,-47.892169,8 [5-18]
Phi(~Time)p(~temp + sundur)pent(~Time + I(Time^2))N(~1),74,0.67 [0.383-0.885],0.31 [0.087-0.677],0.12 [0.054-0.232],57 [35-131],9,93.4079061818182,11.7455198741259,0.00051710140198974,-51.782992,7 [4-16]
Phi(~Time + I(Time^2))p(~Time)pent(~Time + I(Time^2))N(~1),84,0.68 [0.293-0.937],0.29 [0.05-0.795],0.12 [0.034-0.344],61 [34-185],9,93.4674771818182,11.8050908741259,0.000501926397618853,-51.723421,8 [4-23]
Phi(~Time + I(Time^2))p(~sundur)pent(~Time + I(Time^2))N(~1),66,0.66 [0.329-0.904],0.32 [0.096-0.668],0.12 [0.054-0.233],57 [35-131],9,93.5213101818182,11.8589238741259,0.000488596497644414,-51.669588,7 [4-16]
Phi(~Time + I(Time^2))p(~sundur + wind)pent(~1)N(~1),9,0.68 [0.184-0.927],0.23 [0.058-0.593],0.1 [0.067-0.143],66 [39-146],8,93.5908355652174,11.9284492575251,0.000471903397796585,-47.679114,8 [5-18]
Phi(~Time + I(Time^2))p(~sundur + wind)pent(~Time)N(~1),39,0.59 [0.3-0.888],0.46 [0.082-0.828],0.12 [0.078-0.177],45 [30-113],9,94.1599931818182,12.4976068741259,0.00035502758498975,-51.030905,6 [4-14]
